ref_area,indicator,source,sex,time,obs_value,note_indicator,note_source
KOR,LAI_INSP_SEX_NB,FX:601,SEX_T,2018,1894,,S3:24
KOR,LAI_INSP_SEX_NB,FX:601,SEX_M,2018,1216,,S3:24
KOR,LAI_INSP_SEX_NB,FX:601,SEX_F,2018,678,,S3:24
KOR,LAI_INSP_SEX_NB,FX:601,SEX_T,2019,2457,,S3:24
KOR,LAI_INSP_SEX_NB,FX:601,SEX_M,2019,1466,,S3:24
KOR,LAI_INSP_SEX_NB,FX:601,SEX_F,2019,991,,S3:24
LAO,LAI_INSP_SEX_NB,BA:6651,SEX_T,2009,184,,S4:34_S5:38
LAO,LAI_INSP_SEX_NB,BA:6651,SEX_T,2010,188,,S4:34_S5:38
LKA,LAI_INSP_SEX_NB,FF:197,SEX_T,2011,480,,S3:24_S7:57
LKA,LAI_INSP_SEX_NB,FF:197,SEX_M,2011,321,,S3:24_S7:57
LKA,LAI_INSP_SEX_NB,FF:197,SEX_F,2011,159,,S3:24_S7:57
LKA,LAI_INSP_SEX_NB,FF:197,SEX_T,2012,464,,S3:24_S7:57
LKA,LAI_INSP_SEX_NB,FF:197,SEX_M,2012,306,,S3:24_S7:57
LKA,LAI_INSP_SEX_NB,FF:197,SEX_F,2012,158,,S3:24_S7:57
LKA,LAI_INSP_SEX_NB,FF:197,SEX_T,2013,465,,S3:24_S7:57
LKA,LAI_INSP_SEX_NB,FF:197,SEX_M,2013,310,,S3:24_S7:57
LKA,LAI_INSP_SEX_NB,FF:197,SEX_F,2013,155,,S3:24_S7:57
LKA,LAI_INSP_SEX_NB,FF:197,SEX_T,2014,447,,S3:24
LKA,LAI_INSP_SEX_NB,FF:197,SEX_M,2014,281,,S3:24
LKA,LAI_INSP_SEX_NB,FF:197,SEX_F,2014,166,,S3:24
LKA,LAI_INSP_SEX_NB,FF:197,SEX_T,2016,356,,S3:24
LKA,LAI_INSP_SEX_NB,FF:197,SEX_M,2016,231,,S3:24
LKA,LAI_INSP_SEX_NB,FF:197,SEX_F,2016,125,,S3:24
LKA,LAI_INSP_SEX_NB,FF:197,SEX_T,2017,519,,S3:24
LKA,LAI_INSP_SEX_NB,FF:197,SEX_M,2017,276,,S3:24
LKA,LAI_INSP_SEX_NB,FF:197,SEX_F,2017,243,,S3:24
LKA,LAI_INSP_SEX_NB,FF:197,SEX_T,2018,507,,S3:24
LKA,LAI_INSP_SEX_NB,FF:197,SEX_M,2018,272,,S3:24
LKA,LAI_INSP_SEX_NB,FF:197,SEX_F,2018,235,,S3:24
LKA,LAI_INSP_SEX_NB,FF:197,SEX_T,2019,493,,S3:24
LKA,LAI_INSP_SEX_NB,FF:197,SEX_M,2019,267,,S3:24
LKA,LAI_INSP_SEX_NB,FF:197,SEX_F,2019,226,,S3:24
LTU,LAI_INSP_SEX_NB,FF:313,SEX_T,2009,208,,
LTU,LAI_INSP_SEX_NB,FF:313,SEX_T,2010,199,,
LTU,LAI_INSP_SEX_NB,FF:313,SEX_T,2013,193,,
LTU,LAI_INSP_SEX_NB,FF:313,SEX_M,2013,102,,
LTU,LAI_INSP_SEX_NB,FF:313,SEX_F,2013,91,,
LVA,LAI_INSP_SEX_NB,FF:6340,SEX_T,2011,111,,S3:24
LVA,LAI_INSP_SEX_NB,FF:6340,SEX_M,2011,42,,S3:24
LVA,LAI_INSP_SEX_NB,FF:6340,SEX_F,2011,69,,S3:24
LVA,LAI_INSP_SEX_NB,FF:6340,SEX_T,2012,112,,S3:24
LVA,LAI_INSP_SEX_NB,FF:6340,SEX_M,2012,37,,S3:24
LVA,LAI_INSP_SEX_NB,FF:6340,SEX_F,2012,75,,S3:24
LVA,LAI_INSP_SEX_NB,FF:6340,SEX_T,2013,107,,S3:24
LVA,LAI_INSP_SEX_NB,FF:6340,SEX_M,2013,40,,S3:24
LVA,LAI_INSP_SEX_NB,FF:6340,SEX_F,2013,67,,S3:24
LVA,LAI_INSP_SEX_NB,FF:6340,SEX_T,2018,106,,S3:24
LVA,LAI_INSP_SEX_NB,FF:6340,SEX_M,2018,27,,S3:24
LVA,LAI_INSP_SEX_NB,FF:6340,SEX_F,2018,79,,S3:24
LVA,LAI_INSP_SEX_NB,FF:6340,SEX_T,2019,97,,S3:24
LVA,LAI_INSP_SEX_NB,FF:6340,SEX_M,2019,22,,S3:24
LVA,LAI_INSP_SEX_NB,FF:6340,SEX_F,2019,75,,S3:24
MAC,LAI_INSP_SEX_NB,FF:243,SEX_T,2009,790,,S4:35
MAC,LAI_INSP_SEX_NB,FF:243,SEX_T,2010,870,,S4:35
MAC,LAI_INSP_SEX_NB,FF:243,SEX_T,2011,114,,
MAC,LAI_INSP_SEX_NB,FF:243,SEX_M,2011,65,,
MAC,LAI_INSP_SEX_NB,FF:243,SEX_F,2011,49,,
MAC,LAI_INSP_SEX_NB,FF:243,SEX_T,2012,142,,
MAC,LAI_INSP_SEX_NB,FF:243,SEX_M,2012,77,,
MAC,LAI_INSP_SEX_NB,FF:243,SEX_F,2012,65,,
MAC,LAI_INSP_SEX_NB,FF:243,SEX_T,2013,133,,
MAC,LAI_INSP_SEX_NB,FF:243,SEX_M,2013,69,,
MAC,LAI_INSP_SEX_NB,FF:243,SEX_F,2013,64,,
MAC,LAI_INSP_SEX_NB,FF:243,SEX_T,2014,130,,S4:34
MAC,LAI_INSP_SEX_NB,FF:243,SEX_M,2014,68,,S4:34
MAC,LAI_INSP_SEX_NB,FF:243,SEX_F,2014,62,,S4:34
MAC,LAI_INSP_SEX_NB,FF:243,SEX_T,2015,105,,S3:24_S7:57
MAC,LAI_INSP_SEX_NB,FF:243,SEX_M,2015,47,,S3:24_S7:57
MAC,LAI_INSP_SEX_NB,FF:243,SEX_F,2015,58,,S3:24_S7:57
MAR,LAI_INSP_SEX_NB,FX:618,SEX_T,2009,496,,
MAR,LAI_INSP_SEX_NB,FX:618,SEX_T,2010,496,,
MCO,LAI_INSP_SEX_NB,FA:7390,SEX_T,2014,3,,S3:23
MCO,LAI_INSP_SEX_NB,FA:7390,SEX_M,2014,2,,S3:23
MCO,LAI_INSP_SEX_NB,FA:7390,SEX_F,2014,1,,S3:23
MCO,LAI_INSP_SEX_NB,FA:7390,SEX_T,2015,3,,S3:23
MCO,LAI_INSP_SEX_NB,FA:7390,SEX_M,2015,2,,S3:23
MCO,LAI_INSP_SEX_NB,FA:7390,SEX_F,2015,1,,S3:23
MDA,LAI_INSP_SEX_NB,FF:577,SEX_T,2009,93,,S3:24_S4:34
MDA,LAI_INSP_SEX_NB,FF:577,SEX_T,2010,93,,S3:24_S4:34
MDA,LAI_INSP_SEX_NB,FF:577,SEX_T,2013,94,,S3:24_S4:34
MDA,LAI_INSP_SEX_NB,FF:577,SEX_M,2013,81,,S3:24_S4:34
